dataID,zh,cn
Banker,莊,庄
Player,閒,闲
Baccarat,百家樂,百家乐
Limit,限額,限额
BankerWin,莊家贏,庄家赢
PlayerWin,閒家贏,闲家赢
TieWin,和局,和局
Tie,和,和
BankerPair,莊對,庄对
PlayerPair,閒對,闲对
Big,大,大
Small,小,小
Super6,Super6,Super6
Round,輪,轮
Run,局,局
TableMaintain,桌檯維護中,桌台维护中
BaccaratMiCard,眯{0}牌,眯{0}牌
BaccaratSpeed,極{0}速,极{0}速
BaccaratStandard,先{0}發,先{0}发
CountDown,倒數中,倒数中
Dealing,開牌中,开牌中
Computing,結算中,结算中
HalfTime,中場,中场
Maintenance,維護中,维护中
NewRoundRun,準備中,准备中
ComputingFinish,結算完畢,结算完毕
EndBetTime,停止下注,停止下注
MiCard,眯牌中,眯牌中
EndMiCardTime,眯牌結束,眯牌结束
CancelRun,訊號不穩,讯号不稳
Table,桌,桌
TotalBets,總投注,总投注
Setting,設定,设定
Music,遊戲音樂,游戏音乐
Effect,遊戲音效,游戏音效
Video,視{0}訊,视{0}讯
HistoryBetList,歷史注單,历史注单
PlayRule,玩法規則,玩法规则
CustomerService,客服服務,客服服务
SelectChip,請選擇最少{0}個，最多{1}個常用籌碼,请选择最少{0}个，最多{1}个常用筹码
LoadingTable,讀取桌檯設定,读取桌台设定
LoadingLogin,登入中....,登入中....
LoadingGetChip,取得籌碼資訊...,取得筹码资讯...
LoadingGetSpot,取得注區資訊...,取得注区资讯...
LoadingGetServer,取得Servre狀態...,取得Servre状态...
LoadingGetVersion,遊戲版本確認中...,游戏版本确认中...
LoadingGetImage,讀取圖片資料中...,读取图片资料中...
LoadingGetRoadMap,路圖資料分析中…,路图资料分析中…
LoadingAssetsUpdate,資源更新中…,资源更新中…
LoadingLogout,登出中....,登出中....
JackpotContinueWin,連贏,连赢
JackpotYouContinueWin,您已連贏,您已连赢
JackpotRule,Jackpot規則說明,Jackpot规则说明
WebLoading,讀取中.....,读取中.....
TouchOpenVideo,點 擊 此 處 可 開 啟 現 場 畫 面,点 击 此 处 可 开 启 现 场 画 面
