dataID,zh,cn
OperationFail,下注失敗,下注失败
PhysicalError,機器錯誤,机器错误
TableNotFound,無此桌,无此桌
NotLogin,沒登入,没登入
PlayerNotSeatIn,沒入坐,没入坐
NotSufficientCredit,帳戶額度不足,帐户额度不足
UserNotFound,無使用者,无使用者
UserBetLocked,下注鎖單,下注锁单
TableLimitBetFaild,下注失敗，\n該注區已達最高下注額度,下注失败，\n该注区已达最高下注额度
LimitStakeBetFaild,已達到限注條件,已达到限注条件
CreditServerUpdateFaild,玩家額度更新錯誤,玩家额度更新错误
WeekWinBetFaild,已達到當週限贏,已达到当周限赢
WeekLoseBetFaid,已達到當週限輸,已达到当周限输
LimitStakeMaxBetFail,高於該注區押注限額,高于该注区押注限额
LimitStakeMinBetFail,低於該注區押注限額,低于该注区押注限额
TableLimitCantNotCalac,限紅資料不能為空,限红资料不能为空
WeekAndLoseNotCalac,賠率未設定\n無法計算當週限贏限輸,赔率未设定\n无法计算当周限赢限输
PlayerNoPremission,玩家沒有權限開啟,玩家没有权限开启
BettingOfPlayerNotFound,玩家沒有下注,玩家没有下注
RebetLowerBetMiniLimit,下注金額低於注區押注限額,下注金额低于注区押注限额
BetIsMax,該注區限額已滿,该注区限额已满
BetOverCredit,帳戶額度不足,帐户额度不足
BetOverLimit,超過該注區限額，\n已下滿本注區最大額度,超过该注区限额，\n已下满本注区最大额度
BetFailMsgDefault,下注失敗，錯誤代碼：{0},下注失败，错误代码：{0}
SeatFailWeekWinBetFaild,超過限額上限，請聯絡您的上層,超过限额上限，请联络您的上层
SeatFailWeekLoseBetFaid,超過限額下限，請聯絡您的上層,超过限额下限，请联络您的上层
SeatFailPlayerNoPremission,入桌失敗，無指定遊戲權限,入桌失败，无指定游戏权限
SeatFailDuplicateIPInTable,該桌已有同IP玩家在進行遊戲，請更換其他桌檯，謝謝,该桌已有同IP玩家在进行游戏，请更换其他桌台，谢谢
SeatFailHaveBettedInSingleTable,尚有桌台未結算完畢，請稍候再入桌,尚有桌台未结算完毕，请稍候再入桌
SeatFailHaveBettedInMultipleTable,尚有桌台未結算完畢，請稍候再入桌,尚有桌台未结算完毕，请稍候再入桌
SeatFailToBeMaintain,該桌即將進行維護，無法入桌,该桌即将进行维护，无法入桌
